Search results:
    angular-social git://github.com/esvit/angular-social.git
    angular-dragdrop-ganarajpr git://github.com/ganarajpr/angular-dragdrop.git
    angular-slider git://github.com/PopSugar/angular-slider.git
    angular-mocks-unstable git://github.com/meenie/bower-angular-mocks-unstable.git
    angular-flot git://github.com/develersrl/angular-flot.git
    angular-localforage git://github.com/ocombe/angular-localForage.git
    angular-qrcode git://github.com/monospaced/angular-qrcode.git
    angular-fullscreen git://github.com/fabiobiondi/angular-fullscreen
    angular-load git://github.com/urish/angular-load.git
    angular-selection-model git://github.com/jtrussell/angular-selection-model.git
    angular-re-captcha git://github.com/mllrsohn/angular-re-captcha.git
    angular-thrift git://github.com/davearata/angular-thrift.git
    angular-bootstrap-select git://github.com/joaoneto/angular-bootstrap-select.git
    angular-vertxbus git://github.com/knalli/angular-vertxbus.git
    angular-bootstrap-lightbox git://github.com/compact/angular-bootstrap-lightbox.git
    macgyver-core git://github.com/angular-macgyver/bower-macgyver-core.git
    angular-tour git://github.com/DaftMonk/angular-tour.git
    macgyver-table git://github.com/angular-macgyver/bower-macgyver-table
    angular-notification git://github.com/neoziro/angular-notification.git
    angular-rn-carousel git://github.com/revolunet/angular-carousel.git
    angular-shims-placeholder git://github.com/jrief/angular-shims-placeholder.git
    angular-flexslider git://github.com/thenikso/angular-flexslider.git
    angular-media-player git://github.com/mrgamer/angular-media-player.git
    angular-ui-bootstrap3 git://github.com/kkruit/angular-ui-bootstrap3-bower.git
    angular-numeraljs git://github.com/baumandm/angular-numeraljs.git
    angular-hal git://github.com/elmerbulthuis/angular-hal.git
    angular-websocket git://github.com/gdi2290/angular-websocket.git
    angular-jquery git://github.com/mgcrea/angular-jquery.git
    angular-deferred-bootstrap git://github.com/philippd/bower-angular-deferred-bootstrap.git
    angular-sails git://github.com/kyjan/angular-sails.git
    angular-abc git://github.com/JakeSidSmith/abc.git
    bower-angular-placeholders git://github.com/grailian/bower-angular-placeholders
    angular-parallax git://github.com/brettdonohoo/angular-parallax.git
    angular-placeholder-tai git://github.com/tests-always-included/angular-placeholder.git
    angular-intercom git://github.com/gdi2290/angular-intercom.git
    iso-3166-country-codes-angular git://github.com/BluePyth/iso-3166-country-codes-angular.git
    angular-cached-resource git://github.com/goodeggs/angular-cached-resource.git
    angular-placeholder git://github.com/monospaced/angular-placeholder.git
    angular-responsive-images git://github.com/c0bra/angular-responsive-images.git
    angular-dataform git://github.com/sqs/angular-dataform.git
    a0-angular-storage git://github.com/auth0/angular-storage.git
    angular-tags git://github.com/decipherinc/angular-tags.git
    angular-unsavedChanges git://github.com/facultymatt/angular-unsavedChanges.git
    angular-timeago git://github.com/yaru22/angular-timeago.git
    angular-cache-buster git://github.com/saintmac/angular-cache-buster.git
    angular-currency-filter git://github.com/Zmetser/angular-currency-filter.git
    angular-qr git://github.com/janantala/angular-qr
    angular-adaptive-detection git://github.com/angular-adaptive/adaptive-detection.git
    angular-restsource git://github.com/AresProjectManagement/angular-restsource.git
    angular-scrollto git://github.com/scottcorgan/angular-scrollto.git
    angular-knob git://github.com/yunlzheng/angular-knob.git
    angular-restmod git://github.com/platanus/angular-restmod.git
    extras.angular.plus git://github.com/AngularPlus/AngularPlus.git
    angular-data-mocks git://github.com/jmdobry/angular-data-mocks.git
    angular-poller git://github.com/emmaguo/angular-poller.git
    angular-pnotify git://github.com/jacqueslareau/angular-pnotify.git
    angular-uuid git://github.com/ajsd/angular-uuid.git
    angular-mobile-layout git://github.com/massaroni/angular-mobile-layout.git
    angular-virtual-scroll git://github.com/stackfull/angular-virtual-scroll-bower.git
    angular-percentage-filter git://github.com/vpegado/angular-percentage-filter.git
    malhar-angular-dashboard git://github.com/DataTorrent/malhar-angular-dashboard.git
    angular-bootstrap3 git://github.com/paptamas/bower-angular-bootstrap3.git
    angular-ui-foundation-pagination git://github.com/fuksito/angular-ui-foundation-pagination.git
    sfly-scalyr git://github.com/sflyphotobooks/sly-angular.git
    angular-native-picker git://github.com/alongubkin/angular-datepicker.git
    angular-ui-chart git://github.com/angular-ui/ui-chart.git
    dt-angular git://github.com/dt-bower/dt-angular.git
    angularjs-bower git://github.com/mjaric/angularjs-bower.git
    ng-chartjs git://github.com/petermelias/angular-chartjs.git
    angular-slider-royale git://github.com/Design-Royale/angular-slider.git
    angular-bootstrap-checkbox git://github.com/sebastianha/angular-bootstrap-checkbox.git
    angular-smoothscroll git://github.com/arnaudbreton/angular-smoothscroll.git
    angular-retina git://github.com/jrief/angular-retina.git
    angular-spinkit git://github.com/Urigo/angular-spinkit.git
    angular-ujs git://github.com/monterail/angular-ujs.git
    angular-ga git://github.com/panrafal/angular-ga.git
    angular-highcharts-directive git://github.com/rootux/angular-highcharts-directive.git
    angular-user-management git://github.com/incuna/angular-user-management.git
    angular-daterangepicker git://github.com/fragaria/angular-daterangepicker.git
    angular-bugsnag git://github.com/wmluke/angular-bugsnag.git
